group 1

South Russian Shepherd, 사우스 러시안 셰퍼드
Small Blue Gascony, 스몰 블루 가스콩
Harrier, 해리어
Hellenic Hound, 헬레닉 하운드
Hungarian Hound - Transylvanian Scent Hound, 헝가리안 하운드 - 트랜실바니안 센트 하운드
Italian Rough-haired Segugio, 이탈리안 러프-헤어드 세구지오
Italian Shorth-haired Segugio, 이탈리안 쇼트-헤어드 세구지오
Montenegrin Mountain Hound, 몬테네그린 마운틴 하운드
Halden Hound, 할덴 하운드
Hygen Hound, 히겐 하운드
Norwegian Hound, 노르웨이안 하운드
Polish Hunting Dog, 폴리쉬 헌팅 도그
Serbian Hound, 세르비안 하운드
Serbian Tricolour Hound, 세르비안 트라이컬러 하운드
Slovakian Hound, 슬로바키안 하운드
Spanish Hound, 스패니시 하운드
Hamiltonstövare, 해밀턴스토바레
Schillerstövare, 실러스토바레
Smålandsstövare, 스몰란드스토바레
Swiss Hound, 스위스 하운드
Basset Fauve de Bretagne, 바셋 포브 드 브리타뉴
Blue Gascony Basset, 블루 가스콩 바셋
Grand Basset Griffon Vendeen, 그랑 바셋 그리폰 벤딘
Norman Artesien Basset, 노르만 아르테지앙 바셋
Petit Basset Griffon Vendeen, 페티 바셋 그리폰 벤딘
German Hound, 독일 하운드
Westphalian Dachbracke, 베스트팔리안 다크브라케
Basset Hound, 바셋 하운드
Beagle, 비글
Drever, 드레버
Small Swiss Hound, 스몰 스위스 하운드
Alpine Dachbracke, 알파인 다크브라케
Bavarian Mountain Scent Hound, 바이에른 마운틴 센트 하운드
Hanoverian Scent Hound, 하노버리안 센트 하운드
Dalmatian, 달마시안
Rhodesian Ridgeback, 로디지안 리지백

group 7

Old Danish Pointing Dog, 올드 덴마크 포인팅 도그
Ariege Pointing Dog, 아리에주 포인팅 도그
Auvergne Pointer, 오베르뉴 포인터
Bourbonnais Pointing Dog, 부르봉네 포인팅 도그
French Pointing Dog - Gascogne Type, 프렌치 포인팅 도그 - 가스콩 타입
French Pointing Dog - Pyerenean Type, 프렌치 포인팅 도그 - 피레네 타입
Saint Germain Pointer, 생 제르맹 포인터
Deutsch Stichelhaar, 도이치 스티켈하어
German Short-haired Pointing Dog, 독일 쇼트헤어드 포인팅 도그
German Wire-Haired Pointing Dog, 독일 와이어헤어드 포인팅 도그
Pudelpointer, 푸델포인터
Weimaraner, 바이마라너
Hungarian Short-haired Pointer, 헝가리안 쇼트헤어드 포인터
Hungarian Wire-haired Pointer, 헝가리안 와이어헤어드 포인터
Italian Pointing Dog, 이탈리안 포인팅 도그
Portuguese Pointing Dog, 포르투갈 포인팅 도그
Wirehaired Slovakian Pointer, 와이어헤어드 슬로바키안 포인터
Burgos Pointing Dog, 부르고스 포인팅 도그
Blue Picardy Spaniel, 블루 피카르디 스패니얼
Brittany Spaniel, 브리타니 스패니얼
French Spaniel, 프렌치 스패니얼
Picardy Spaniel, 피카르디 스패니얼
Pont-Audemer Spaniel, 폰 오데메르 스패니얼
Deutsch Langhaar, 도이치 랑하르
Kleiner Münsterländer, 클라이너 뮌스터랜더
Large Munsterlander, 라지 뮌스터랜더
Drentsche Partridge Dog, 드렌트셰 파트리지 도그
Stabijhon, 스타비혼
Bohemian Wire-haired Pointing Griffon, 보헤미안 와이어헤어드 포인팅 그리폰
Wire-haired Pointing Griffon Korthals, 와이어헤어드 포인팅 그리폰 코르탈스
Italian Spinone, 이탈리안 스피노네
English Pointer, 잉글리시 포인터
English Setter, 잉글리시 세터
Gordon Setter, 고든 세터
Irish Red and White Setter, 아이리시 레드 앤드 화이트 세터
Irish Red Setter, 아이리시 레드 세터


group 8

Nova Scotia Duck Tolling Retriever, 노바 스코샤 덕 톨링 리트리버
Curly Coated Retriever, 컬리 코티드 리트리버
Flat Coated Retriever, 플랫 코티드 리트리버
Golden Retriever, 골든 리트리버
Labrador Retriever, 래브라도 리트리버
Chesapeke Bay Retriever, 체서피크 베이 리트리버
German Spaniel, 독일 스패니얼
Clumber Spaniel, 클럼버 스패니얼
English Cocker Spaniel, 잉글리시 코커 스패니얼
English Springer Spaniel, 잉글리시 스프링어 스패니얼
Field Spaniel, 필드 스패니얼
Sussex Spaniel, 서식스 스패니얼
Welsh Springer Spaniel, 웰시 스프링어 스패니얼
Nederlandse Kooikerhondje, 네덜란드세 쿠이커혼제
American Cocker Spaniel, 아메리칸 코커 스패니얼
French Water Dog, 프렌치 워터 도그
Irish Water Spaniel, 아이리시 워터 스패니얼
Romagna Water Dog, 라고토 로마뇰로
Portuguese Water Dog, 포르투갈 워터 도그
Spanish Water Dog, 스패니시 워터 도그
Frisian Water Dog, 프리지안 워터 도그
American Water Spaniel, 아메리칸 워터 스패니얼

group 9

Bichon Frise, 비숑 프리제
Maltese, 말티즈
Havanese, 하바니즈
Bolognese, 볼로네제
Coton de Tulear, 코통 드 튈레아르
Little Lion Dog, 리틀 라이언 도그
Poodle, 푸들
Griffon Belge, 그리폰 벨지
Griffon Bruxellois, 그리폰 브뤼셀루아
Petit Brabançon, 프티 브라반송
Chinese Crested Dog, 차이니스 크레스티드
Lhasa Apso, 라사압소
Shih Tzu, 시추
Tibetan Spaniel, 티베탄 스패니얼
Tibetan Terrier, 티베탄 테리어
Chihuahua, 치와와
Cavalier King Charles Spaniel, 카발리에 킹 찰스 스패니얼
King Charles Spaniel, 킹 찰스 스패니얼
Pekingese, 페키니즈
Japanese Chin, 재패니즈 친
Continential Toy Spaniel, 컨티넨탈 토이 스패니얼
Russian Toy, 러시안 토이
Kromfohrländer, 크롬포를란더
Pug, 퍼그
French Bulldog, 프렌치 불도그
Boston Terrier, 보스턴 테리어


group 10

Afghan Hound, 아프간 하운드
Saluki, 살루키
Borzoi - Russian Hunting Sighthound, 보르조이 - 러시안 헌팅 사이트하운드
Deerhound, 디어하운드
Irish Wolfhound, 아이리시 울프하운드
Greyhound, 그레이하운드
Whippet, 휘핏
Hungarian Greyhound, 헝가리안 그레이하운드
Italian Sighthound, 이탈리안 사이트하운드
Azawakh, 아자와크
Sloughi, 슬루기
Polish Greyhound, 폴리쉬 그레이하운드
Spanish Greyhound, 스패니시 그레이하운드
